"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"5483";"T001038";"GM0307";"2014JJ00";"  152481"
"5484";"T001038";"GM0307";"2015JJ00";"  153602"
"5485";"T001038";"GM0307";"2016JJ00";"  154337"
"5486";"T001038";"GM0307";"2017JJ00";"  155226"
"5487";"T001038";"GM0307";"2018JJ00";"  156286"
"5488";"T001038";"GM0307";"2019JJ00";"  157276"
"5489";"T001038";"GM0307";"2020JJ00";"  157462"
"5544";"T001038";"GM0486";"2014JJ00";""
"5545";"T001038";"GM0486";"2015JJ00";""
"5546";"T001038";"GM0486";"2016JJ00";""
"5547";"T001038";"GM0486";"2017JJ00";""
"5548";"T001038";"GM0486";"2018JJ00";""
"5549";"T001038";"GM0486";"2019JJ00";""
"5550";"T001038";"GM0486";"2020JJ00";""
"5605";"T001038";"GM0198";"2014JJ00";""
"5606";"T001038";"GM0198";"2015JJ00";""
"5607";"T001038";"GM0198";"2016JJ00";""
"5608";"T001038";"GM0198";"2017JJ00";""
"5609";"T001038";"GM0198";"2018JJ00";""
"5610";"T001038";"GM0198";"2019JJ00";""
"5611";"T001038";"GM0198";"2020JJ00";""
"5666";"T001038";"GM0362";"2014JJ00";"   87162"
"5667";"T001038";"GM0362";"2015JJ00";"   88602"
"5668";"T001038";"GM0362";"2016JJ00";"   89294"
"5669";"T001038";"GM0362";"2017JJ00";"   89870"
"5670";"T001038";"GM0362";"2018JJ00";"   90838"
"5671";"T001038";"GM0362";"2019JJ00";"   91675"
"5672";"T001038";"GM0362";"2020JJ00";"   90829"
"5727";"T001038";"GM0884";"2014JJ00";""
"5728";"T001038";"GM0884";"2015JJ00";""
"5729";"T001038";"GM0884";"2016JJ00";""
"5730";"T001038";"GM0884";"2017JJ00";""
"5731";"T001038";"GM0884";"2018JJ00";""
"5732";"T001038";"GM0884";"2019JJ00";""
"5733";"T001038";"GM0884";"2020JJ00";""
"5788";"T001038";"GM0363";"2014JJ00";"  821752"
"5789";"T001038";"GM0363";"2015JJ00";"  833624"
"5790";"T001038";"GM0363";"2016JJ00";"  844947"
"5791";"T001038";"GM0363";"2017JJ00";"  854047"
"5792";"T001038";"GM0363";"2018JJ00";"  862965"
"5793";"T001038";"GM0363";"2019JJ00";"  872757"
"5794";"T001038";"GM0363";"2020JJ00";"  873338"
"5849";"T001038";"GM0742";"2014JJ00";""
"5850";"T001038";"GM0742";"2015JJ00";""
"5851";"T001038";"GM0742";"2016JJ00";""
"5852";"T001038";"GM0742";"2017JJ00";""
"5853";"T001038";"GM0742";"2018JJ00";""
"5854";"T001038";"GM0742";"2019JJ00";""
"5855";"T001038";"GM0742";"2020JJ00";""
"5910";"T001038";"GM0364";"2014JJ00";""
"5911";"T001038";"GM0364";"2015JJ00";""
"5912";"T001038";"GM0364";"2016JJ00";""
"5913";"T001038";"GM0364";"2017JJ00";""
"5914";"T001038";"GM0364";"2018JJ00";""
"5915";"T001038";"GM0364";"2019JJ00";""
"5916";"T001038";"GM0364";"2020JJ00";""
"5971";"T001038";"GM0199";"2014JJ00";""
"5972";"T001038";"GM0199";"2015JJ00";""
"5973";"T001038";"GM0199";"2016JJ00";""
"5974";"T001038";"GM0199";"2017JJ00";""
"5975";"T001038";"GM0199";"2018JJ00";""
"5976";"T001038";"GM0199";"2019JJ00";""
"5977";"T001038";"GM0199";"2020JJ00";""
"6032";"T001038";"GM1014";"2014JJ00";""
"6033";"T001038";"GM1014";"2015JJ00";""
"6034";"T001038";"GM1014";"2016JJ00";""
"6035";"T001038";"GM1014";"2017JJ00";""
"6036";"T001038";"GM1014";"2018JJ00";""
"6037";"T001038";"GM1014";"2019JJ00";""
"6038";"T001038";"GM1014";"2020JJ00";""
"6093";"T001038";"GM0105";"2014JJ00";""
"6094";"T001038";"GM0105";"2015JJ00";""
"6095";"T001038";"GM0105";"2016JJ00";""
"6096";"T001038";"GM0105";"2017JJ00";""
"6097";"T001038";"GM0105";"2018JJ00";""
"6098";"T001038";"GM0105";"2019JJ00";""
"6099";"T001038";"GM0105";"2020JJ00";""
"6154";"T001038";"GM0366";"2014JJ00";""
"6155";"T001038";"GM0366";"2015JJ00";""
"6156";"T001038";"GM0366";"2016JJ00";""
"6157";"T001038";"GM0366";"2017JJ00";""
"6158";"T001038";"GM0366";"2018JJ00";""
